date,rank_ic,n_symbols
2023-10-11,0.06478792,920
2023-10-12,0.05866430,920
2023-10-13,0.01914542,920
2023-10-16,0.02504575,920
2023-10-17,-0.03554129,920
2023-10-18,-0.06349366,921
2023-10-19,0.01868581,922
2023-10-20,-0.04341142,922
2023-10-23,0.04850519,923
2023-10-24,0.02248110,924
2023-10-25,0.04421832,924
2023-10-26,0.01498808,924
2023-10-27,0.04065370,924
2023-10-30,0.02029791,923
2023-10-31,-0.00013816,924
2023-11-01,-0.08816204,924
2023-11-02,-0.12507276,925
2023-11-03,0.00671099,925
2023-11-06,0.07050175,925
2023-11-07,0.10600517,925
2023-11-08,0.15895531,925
2023-11-09,0.18829173,925
2023-11-10,0.13160786,925
2023-11-13,0.14388908,925
2023-11-14,0.20413118,925
2023-11-15,0.13454210,926
2023-11-16,0.15042357,926
2023-11-17,0.18416514,926
2023-11-20,0.17946454,926
2023-11-21,0.16293610,926
2023-11-22,0.15971604,926
2023-11-23,0.14841656,926
2023-11-24,0.10096707,926
2023-11-27,0.02676780,926
2023-11-28,0.00783940,925
2023-11-29,-0.02115932,927
2023-11-30,-0.02306213,927
2023-12-01,-0.00050219,927
2023-12-04,-0.04334131,927
2023-12-05,-0.00472634,927
2023-12-06,-0.02746978,927
2023-12-07,-0.06763883,927
2023-12-08,-0.02576663,928
2023-12-11,0.02609949,928
2023-12-12,0.04486519,928
2023-12-13,0.05752465,928
2023-12-14,0.03946808,929
2023-12-15,0.05810394,929
2023-12-18,0.05989749,930
2023-12-19,-0.06500932,930
2023-12-20,-0.02410771,930
2023-12-21,-0.09993702,930
2023-12-22,-0.14106438,931
2023-12-25,-0.12573129,930
2023-12-26,-0.02126379,933
2023-12-27,-0.03347259,933
2023-12-28,-0.00265669,934
2023-12-29,-0.03523015,934
2024-01-02,0.08016579,934
2024-01-03,0.19320709,934
2024-01-04,0.16319767,934
2024-01-05,0.19854156,935
2024-01-08,-0.01804537,936
2024-01-09,-0.19994890,936
2024-01-10,-0.12599420,936
2024-01-11,-0.17043833,936
2024-01-12,-0.11023124,937
