time,order_id,symbol,side,quantity,order_type,ref_price,status,message
2026-09-06T22:35:05.297379,ORD000001,000506,buy,100,market,20.99,pending,"已提交,待撮合"
2026-09-06T22:35:05.305215,ORD000002,002237,buy,100,market,15.21,pending,"已提交,待撮合"
2026-09-06T22:35:05.308198,ORD000003,002400,buy,300,market,6.61,pending,"已提交,待撮合"
2026-09-06T22:35:05.312425,ORD000004,002488,buy,200,market,8.33,pending,"已提交,待撮合"
2026-09-06T22:35:05.315280,ORD000005,002498,buy,300,market,6.87,pending,"已提交,待撮合"
2026-09-06T22:35:05.318286,ORD000006,002545,buy,100,market,17.52,pending,"已提交,待撮合"
2026-09-06T22:35:05.318286,ORD000007,002716,buy,200,market,11.22,pending,"已提交,待撮合"
2026-09-06T22:35:05.324486,ORD000008,300102,buy,100,market,17.76,pending,"已提交,待撮合"
2026-09-06T22:35:05.326689,ORD000009,300170,buy,100,market,16.46,pending,"已提交,待撮合"
2026-09-06T22:35:05.326689,ORD000010,300244,buy,100,market,17.72,pending,"已提交,待撮合"
2026-09-06T22:35:05.333522,ORD000011,301363,buy,100,market,16.03,pending,"已提交,待撮合"
2026-09-06T22:35:05.336274,ORD000012,600531,buy,100,market,13.08,pending,"已提交,待撮合"
2026-09-06T22:35:05.338853,ORD000013,600869,buy,100,market,21.2,pending,"已提交,待撮合"
2026-09-06T22:35:05.338853,ORD000014,600877,buy,100,market,12.02,pending,"已提交,待撮合"
2026-09-06T22:35:05.345822,ORD000015,600986,buy,300,market,7.56,pending,"已提交,待撮合"
2026-09-06T22:35:05.345822,ORD000016,603057,buy,100,market,20.69,pending,"已提交,待撮合"
2026-09-06T22:35:05.345822,ORD000017,603619,buy,100,market,22.78,pending,"已提交,待撮合"
2026-09-06T22:35:05.352899,ORD000018,605116,buy,100,market,19.64,pending,"已提交,待撮合"
