time,order_id,symbol,side,quantity,order_type,ref_price,status,message
2026-08-15T13:58:28.965542,ORD000001,000029,buy,900,market,22.2,pending,"已提交,待撮合"
2026-08-15T13:58:28.967688,ORD000002,000035,buy,4200,market,4.71,pending,"已提交,待撮合"
2026-08-15T13:58:28.969787,ORD000003,000099,buy,1400,market,14.1,pending,"已提交,待撮合"
2026-08-15T13:58:28.972358,ORD000004,000506,buy,1100,market,17.64,pending,"已提交,待撮合"
2026-08-15T13:58:28.974027,ORD000005,001896,buy,1500,market,13.07,pending,"已提交,待撮合"
2026-08-15T13:58:28.975975,ORD000006,002170,buy,1700,market,11.13,pending,"已提交,待撮合"
2026-08-15T13:58:28.978052,ORD000007,002434,buy,3300,market,5.9,pending,"已提交,待撮合"
2026-08-15T13:58:28.979981,ORD000008,002891,buy,600,market,30.0,pending,"已提交,待撮合"
2026-08-15T13:58:28.981060,ORD000009,300045,buy,1500,market,13.31,pending,"已提交,待撮合"
2026-08-15T13:58:28.983060,ORD000010,300180,buy,4600,market,4.32,pending,"已提交,待撮合"
2026-08-15T13:58:28.985058,ORD000011,300182,buy,3900,market,5.1,pending,"已提交,待撮合"
2026-08-15T13:58:28.986308,ORD000012,300315,buy,4700,market,4.19,pending,"已提交,待撮合"
2026-08-15T13:58:28.988481,ORD000013,300322,buy,1000,market,19.05,pending,"已提交,待撮合"
2026-08-15T13:58:28.990497,ORD000014,300443,buy,900,market,20.53,pending,"已提交,待撮合"
2026-08-15T13:58:28.991497,ORD000015,300459,buy,5400,market,3.68,pending,"已提交,待撮合"
2026-08-15T13:58:28.993411,ORD000016,300492,buy,700,market,25.24,pending,"已提交,待撮合"
2026-08-15T13:58:28.995510,ORD000017,300598,buy,600,market,28.72,pending,"已提交,待撮合"
2026-08-15T13:58:28.996487,ORD000018,300601,buy,1500,market,12.69,pending,"已提交,待撮合"
2026-08-15T13:58:28.998488,ORD000019,300850,buy,700,market,27.0,pending,"已提交,待撮合"
2026-08-15T13:58:29.000505,ORD000020,301015,buy,700,market,26.89,pending,"已提交,待撮合"
2026-08-15T13:58:29.001741,ORD000021,301039,buy,2500,market,7.79,pending,"已提交,待撮合"
2026-08-15T13:58:29.003646,ORD000022,301155,buy,400,market,46.06,pending,"已提交,待撮合"
2026-08-15T13:58:29.004651,ORD000023,301207,buy,1100,market,18.11,pending,"已提交,待撮合"
2026-08-15T13:58:29.007103,ORD000024,301622,buy,400,market,41.57,pending,"已提交,待撮合"
2026-08-15T13:58:29.008790,ORD000025,600057,buy,3200,market,6.15,pending,"已提交,待撮合"
2026-08-15T13:58:29.010710,ORD000026,600338,buy,1400,market,13.67,pending,"已提交,待撮合"
2026-08-15T13:58:29.011749,ORD000027,600389,buy,1000,market,18.55,pending,"已提交,待撮合"
2026-08-15T13:58:29.014330,ORD000028,600422,buy,2200,market,8.82,pending,"已提交,待撮合"
2026-08-15T13:58:29.015765,ORD000029,600428,buy,1600,market,11.81,pending,"已提交,待撮合"
2026-08-15T13:58:29.017768,ORD000030,600597,buy,2900,market,6.67,pending,"已提交,待撮合"
2026-08-15T13:58:29.019776,ORD000031,600729,buy,1000,market,19.02,pending,"已提交,待撮合"
2026-08-15T13:58:29.021251,ORD000032,600750,buy,800,market,23.81,pending,"已提交,待撮合"
2026-08-15T13:58:29.023500,ORD000033,600776,buy,1500,market,12.95,pending,"已提交,待撮合"
2026-08-15T13:58:29.025404,ORD000034,600782,buy,7300,market,2.71,pending,"已提交,待撮合"
2026-08-15T13:58:29.028286,ORD000035,600835,buy,1000,market,19.06,pending,"已提交,待撮合"
2026-08-15T13:58:29.029722,ORD000036,600877,buy,1500,market,12.99,pending,"已提交,待撮合"
2026-08-15T13:58:29.032725,ORD000037,601519,buy,2400,market,8.07,pending,"已提交,待撮合"
2026-08-15T13:58:29.034634,ORD000038,601949,buy,3800,market,5.17,pending,"已提交,待撮合"
2026-08-15T13:58:29.036605,ORD000039,603236,buy,300,market,60.69,pending,"已提交,待撮合"
2026-08-15T13:58:29.038602,ORD000040,603355,buy,700,market,27.22,pending,"已提交,待撮合"
2026-08-15T13:58:29.040605,ORD000041,603533,buy,900,market,22.0,pending,"已提交,待撮合"
2026-08-15T13:58:29.043591,ORD000042,603567,buy,3000,market,6.62,pending,"已提交,待撮合"
2026-08-15T13:58:29.045571,ORD000043,603619,buy,800,market,22.33,pending,"已提交,待撮合"
2026-08-15T13:58:29.047584,ORD000044,605196,buy,500,market,35.07,pending,"已提交,待撮合"
2026-08-15T13:58:29.050435,ORD000045,688139,buy,600,market,28.84,pending,"已提交,待撮合"
2026-08-15T13:58:29.052419,ORD000046,688333,buy,100,market,109.73,pending,"已提交,待撮合"
2026-08-15T13:58:29.054420,ORD000047,688382,buy,900,market,21.09,pending,"已提交,待撮合"
2026-08-15T13:58:29.056359,ORD000048,688552,buy,700,market,27.93,pending,"已提交,待撮合"
