date,order_id,symbol,side,quantity,price,amount,commission,stamp_tax,slippage,total_cost,net_proceeds
2026-08-14,ORD000001,000035,buy,300,4.77,1430.9999999999998,5.0,0.0,1.4309999999999998,6.431,-1424.5689999999997
2026-08-14,ORD000002,000099,buy,100,14.22,1422.0,5.0,0.0,1.422,6.422,-1415.578
2026-08-14,ORD000003,001896,buy,100,13.86,1386.0,5.0,0.0,1.3860000000000001,6.386,-1379.614
2026-08-14,ORD000004,002170,buy,100,11.19,1119.0,5.0,0.0,1.119,6.119,-1112.881
2026-08-14,ORD000005,002434,buy,200,6.0,1200.0,5.0,0.0,1.2,6.2,-1193.8
2026-08-14,ORD000006,300045,buy,100,13.41,1341.0,5.0,0.0,1.341,6.341,-1334.659
2026-08-14,ORD000007,300180,buy,300,4.39,1317.0,5.0,0.0,1.317,6.317,-1310.683
2026-08-14,ORD000008,300182,buy,300,5.16,1548.0,5.0,0.0,1.548,6.548,-1541.452
2026-08-14,ORD000009,300315,buy,400,4.21,1684.0,5.0,0.0,1.684,6.684,-1677.316
2026-08-14,ORD000010,300459,buy,400,3.7,1480.0,5.0,0.0,1.48,6.48,-1473.52
2026-08-14,ORD000011,300601,buy,100,12.75,1275.0,5.0,0.0,1.2750000000000001,6.275,-1268.725
2026-08-14,ORD000012,301039,buy,200,7.87,1574.0,5.0,0.0,1.574,6.574,-1567.426
2026-08-14,ORD000013,600057,buy,200,6.26,1252.0,5.0,0.0,1.252,6.252,-1245.748
2026-08-14,ORD000014,600338,buy,100,13.55,1355.0,5.0,0.0,1.355,6.355,-1348.645
2026-08-14,ORD000015,600422,buy,100,9.05,905.0000000000001,5.0,0.0,0.9050000000000001,5.905,-899.0950000000001
2026-08-14,ORD000016,600428,buy,100,11.91,1191.0,5.0,0.0,1.191,6.191,-1184.809
2026-08-14,ORD000017,600597,buy,200,6.84,1368.0,5.0,0.0,1.368,6.368,-1361.632
2026-08-14,ORD000018,600776,buy,100,12.93,1293.0,5.0,0.0,1.293,6.293,-1286.707
2026-08-14,ORD000019,600782,buy,600,2.73,1638.0,5.0,0.0,1.6380000000000001,6.638,-1631.362
2026-08-14,ORD000020,600877,buy,100,13.3,1330.0,5.0,0.0,1.33,6.33,-1323.67
2026-08-14,ORD000021,601519,buy,200,8.23,1646.0,5.0,0.0,1.6460000000000001,6.646,-1639.354
2026-08-14,ORD000022,601949,buy,300,5.31,1592.9999999999998,5.0,0.0,1.5929999999999997,6.593,-1586.4069999999997
2026-08-14,ORD000023,603567,buy,200,6.81,1362.0,5.0,0.0,1.362,6.362,-1355.638
