time,order_id,symbol,side,quantity,order_type,ref_price,status,message
2026-08-15T14:04:14.075477,NONE,000029,buy,900,market,22.2,pending,"none 模式:仅记录,不下单"
2026-08-15T14:04:14.075477,NONE,000035,buy,4200,market,4.71,pending,"none 模式:仅记录,不下单"
2026-08-15T14:04:14.075477,NONE,000099,buy,1400,market,14.1,pending,"none 模式:仅记录,不下单"
2026-08-15T14:04:14.076497,NONE,000506,buy,1100,market,17.64,pending,"none 模式:仅记录,不下单"
2026-08-15T14:04:14.076497,NONE,001896,buy,1500,market,13.07,pending,"none 模式:仅记录,不下单"
2026-08-15T14:04:14.076497,NONE,002170,buy,1700,market,11.13,pending,"none 模式:仅记录,不下单"
2026-08-15T14:04:14.076497,NONE,002434,buy,3300,market,5.9,pending,"none 模式:仅记录,不下单"
2026-08-15T14:04:14.076497,NONE,002891,buy,600,market,30.0,pending,"none 模式:仅记录,不下单"
2026-08-15T14:04:14.076497,NONE,300045,buy,1500,market,13.31,pending,"none 模式:仅记录,不下单"
2026-08-15T14:04:14.077489,NONE,300180,buy,4600,market,4.32,pending,"none 模式:仅记录,不下单"
2026-08-15T14:04:14.077489,NONE,300182,buy,3900,market,5.1,pending,"none 模式:仅记录,不下单"
2026-08-15T14:04:14.077994,NONE,300315,buy,4700,market,4.19,pending,"none 模式:仅记录,不下单"
2026-08-15T14:04:14.077994,NONE,300322,buy,1000,market,19.05,pending,"none 模式:仅记录,不下单"
2026-08-15T14:04:14.078400,NONE,300443,buy,900,market,20.53,pending,"none 模式:仅记录,不下单"
2026-08-15T14:04:14.078400,NONE,300459,buy,5400,market,3.68,pending,"none 模式:仅记录,不下单"
2026-08-15T14:04:14.078400,NONE,300492,buy,700,market,25.24,pending,"none 模式:仅记录,不下单"
2026-08-15T14:04:14.078400,NONE,300598,buy,600,market,28.72,pending,"none 模式:仅记录,不下单"
2026-08-15T14:04:14.078400,NONE,300601,buy,1500,market,12.69,pending,"none 模式:仅记录,不下单"
2026-08-15T14:04:14.078400,NONE,300850,buy,700,market,27.0,pending,"none 模式:仅记录,不下单"
2026-08-15T14:04:14.078400,NONE,301015,buy,700,market,26.89,pending,"none 模式:仅记录,不下单"
2026-08-15T14:04:14.079586,NONE,301039,buy,2500,market,7.79,pending,"none 模式:仅记录,不下单"
2026-08-15T14:04:14.079586,NONE,301155,buy,400,market,46.06,pending,"none 模式:仅记录,不下单"
2026-08-15T14:04:14.079586,NONE,301207,buy,1100,market,18.11,pending,"none 模式:仅记录,不下单"
2026-08-15T14:04:14.079586,NONE,301622,buy,400,market,41.57,pending,"none 模式:仅记录,不下单"
2026-08-15T14:04:14.080582,NONE,600057,buy,3200,market,6.15,pending,"none 模式:仅记录,不下单"
2026-08-15T14:04:14.080582,NONE,600338,buy,1400,market,13.67,pending,"none 模式:仅记录,不下单"
2026-08-15T14:04:14.081586,NONE,600389,buy,1000,market,18.55,pending,"none 模式:仅记录,不下单"
2026-08-15T14:04:14.081586,NONE,600422,buy,2200,market,8.82,pending,"none 模式:仅记录,不下单"
2026-08-15T14:04:14.081586,NONE,600428,buy,1600,market,11.81,pending,"none 模式:仅记录,不下单"
2026-08-15T14:04:14.081586,NONE,600597,buy,2900,market,6.67,pending,"none 模式:仅记录,不下单"
2026-08-15T14:04:14.081586,NONE,600729,buy,1000,market,19.02,pending,"none 模式:仅记录,不下单"
2026-08-15T14:04:14.082580,NONE,600750,buy,800,market,23.81,pending,"none 模式:仅记录,不下单"
2026-08-15T14:04:14.082580,NONE,600776,buy,1500,market,12.95,pending,"none 模式:仅记录,不下单"
2026-08-15T14:04:14.082580,NONE,600782,buy,7300,market,2.71,pending,"none 模式:仅记录,不下单"
2026-08-15T14:04:14.082580,NONE,600835,buy,1000,market,19.06,pending,"none 模式:仅记录,不下单"
2026-08-15T14:04:14.082580,NONE,600877,buy,1500,market,12.99,pending,"none 模式:仅记录,不下单"
2026-08-15T14:04:14.082580,NONE,601519,buy,2400,market,8.07,pending,"none 模式:仅记录,不下单"
2026-08-15T14:04:14.083581,NONE,601949,buy,3800,market,5.17,pending,"none 模式:仅记录,不下单"
2026-08-15T14:04:14.083581,NONE,603236,buy,300,market,60.69,pending,"none 模式:仅记录,不下单"
2026-08-15T14:04:14.083581,NONE,603355,buy,700,market,27.22,pending,"none 模式:仅记录,不下单"
2026-08-15T14:04:14.083581,NONE,603533,buy,900,market,22.0,pending,"none 模式:仅记录,不下单"
2026-08-15T14:04:14.083581,NONE,603567,buy,3000,market,6.62,pending,"none 模式:仅记录,不下单"
2026-08-15T14:04:14.083581,NONE,603619,buy,800,market,22.33,pending,"none 模式:仅记录,不下单"
2026-08-15T14:04:14.084552,NONE,605196,buy,500,market,35.07,pending,"none 模式:仅记录,不下单"
2026-08-15T14:04:14.084552,NONE,688139,buy,600,market,28.84,pending,"none 模式:仅记录,不下单"
2026-08-15T14:04:14.084552,NONE,688333,buy,100,market,109.73,pending,"none 模式:仅记录,不下单"
2026-08-15T14:04:14.085029,NONE,688382,buy,900,market,21.09,pending,"none 模式:仅记录,不下单"
2026-08-15T14:04:14.085430,NONE,688552,buy,700,market,27.93,pending,"none 模式:仅记录,不下单"
