date,order_id,symbol,side,quantity,price,amount,commission,stamp_tax,slippage,total_cost,net_proceeds
2026-08-14,ORD000001,000029,buy,900,22.5,20250.0,6.074999999999999,0.0,20.25,26.325,-20223.675
2026-08-14,ORD000002,000035,buy,4200,4.77,20034.0,6.010199999999999,0.0,20.034,26.044199999999996,-20007.9558
2026-08-14,ORD000003,000099,buy,1400,14.22,19908.0,5.9723999999999995,0.0,19.908,25.8804,-19882.1196
2026-08-14,ORD000004,000506,buy,1100,16.88,18568.0,5.570399999999999,0.0,18.568,24.1384,-18543.8616
2026-08-14,ORD000005,001896,buy,1500,13.86,20790.0,6.236999999999999,0.0,20.79,27.026999999999997,-20762.973
2026-08-14,ORD000006,002170,buy,1700,11.19,19023.0,5.706899999999999,0.0,19.023,24.7299,-18998.2701
2026-08-14,ORD000007,002434,buy,3300,6.0,19800.0,5.9399999999999995,0.0,19.8,25.740000000000002,-19774.26
2026-08-14,ORD000008,002891,buy,600,31.6,18960.0,5.688,0.0,18.96,24.648,-18935.352
2026-08-14,ORD000009,300045,buy,1500,13.41,20115.0,6.0344999999999995,0.0,20.115000000000002,26.149500000000003,-20088.8505
2026-08-14,ORD000010,300180,buy,4600,4.39,20194.0,6.058199999999999,0.0,20.194,26.2522,-20167.7478
2026-08-14,ORD000011,300182,buy,3900,5.16,20124.0,6.0371999999999995,0.0,20.124,26.161199999999997,-20097.8388
2026-08-14,ORD000012,300315,buy,4700,4.21,19787.0,5.9361,0.0,19.787,25.7231,-19761.2769
2026-08-14,ORD000013,300322,buy,1000,18.41,18410.0,5.523,0.0,18.41,23.933,-18386.067
2026-08-14,ORD000014,300443,buy,900,20.93,18837.0,5.6511,0.0,18.837,24.4881,-18812.5119
2026-08-14,ORD000015,300459,buy,5400,3.7,19980.0,5.994,0.0,19.98,25.974,-19954.026
2026-08-14,ORD000016,300492,buy,700,25.79,18053.0,5.4159,0.0,18.053,23.4689,-18029.5311
2026-08-14,ORD000017,300598,buy,600,28.85,17310.0,5.193,0.0,17.31,22.503,-17287.497
2026-08-14,ORD000018,300601,buy,1500,12.75,19125.0,5.7375,0.0,19.125,24.8625,-19100.1375
2026-08-14,ORD000019,300850,buy,700,28.48,19936.0,5.9807999999999995,0.0,19.936,25.9168,-19910.0832
2026-08-14,ORD000020,301015,buy,700,25.03,17521.0,5.2562999999999995,0.0,17.521,22.7773,-17498.2227
2026-08-14,ORD000021,301039,buy,2500,7.87,19675.0,5.9025,0.0,19.675,25.5775,-19649.4225
2026-08-14,ORD000022,301155,buy,400,46.9,18760.0,5.627999999999999,0.0,18.76,24.388,-18735.612
2026-08-14,ORD000023,301207,buy,1100,18.1,19910.0,5.973,0.0,19.91,25.883,-19884.117
2026-08-14,ORD000024,301622,buy,400,41.38,16552.0,5.0,0.0,16.552,21.552,-16530.448
2026-08-14,ORD000025,600057,buy,3200,6.26,20032.0,6.0096,0.0,20.032,26.0416,-20005.9584
2026-08-14,ORD000026,600338,buy,1400,13.55,18970.0,5.691,0.0,18.97,24.660999999999998,-18945.339
2026-08-14,ORD000027,600389,buy,1000,18.91,18910.0,5.672999999999999,0.0,18.91,24.583,-18885.417
2026-08-14,ORD000028,600422,buy,2200,9.05,19910.0,5.973,0.0,19.91,25.883,-19884.117
2026-08-14,ORD000029,600428,buy,1600,11.91,19056.0,5.716799999999999,0.0,19.056,24.7728,-19031.2272
2026-08-14,ORD000030,600597,buy,2900,6.84,19836.0,5.950799999999999,0.0,19.836000000000002,25.7868,-19810.2132
2026-08-14,ORD000031,600729,buy,1000,19.43,19430.0,5.829,0.0,19.43,25.259,-19404.741
2026-08-14,ORD000032,600750,buy,800,24.12,19296.0,5.788799999999999,0.0,19.296,25.084799999999998,-19270.9152
2026-08-14,ORD000033,600776,buy,1500,12.93,19395.0,5.818499999999999,0.0,19.395,25.2135,-19369.7865
2026-08-14,ORD000034,600782,buy,7300,2.73,19929.0,5.9787,0.0,19.929000000000002,25.907700000000002,-19903.0923
2026-08-14,ORD000035,600835,buy,1000,18.89,18890.0,5.667,0.0,18.89,24.557000000000002,-18865.443
2026-08-14,ORD000036,600877,buy,1500,13.3,19950.0,5.984999999999999,0.0,19.95,25.935,-19924.065
2026-08-14,ORD000037,601519,buy,2400,8.23,19752.0,5.925599999999999,0.0,19.752,25.677599999999998,-19726.3224
2026-08-14,ORD000038,601949,buy,3800,5.31,20178.0,6.0534,0.0,20.178,26.2314,-20151.7686
2026-08-14,ORD000039,603236,buy,300,61.02,18306.0,5.4918,0.0,18.306,23.797800000000002,-18282.2022
2026-08-14,ORD000040,603355,buy,700,27.14,18998.0,5.6994,0.0,18.998,24.697400000000002,-18973.3026
2026-08-14,ORD000041,603533,buy,900,22.49,20241.0,6.072299999999999,0.0,20.241,26.313299999999998,-20214.6867
2026-08-14,ORD000042,603567,buy,3000,6.81,20430.0,6.129,0.0,20.43,26.558999999999997,-20403.441
2026-08-14,ORD000043,603619,buy,800,22.01,17608.0,5.282399999999999,0.0,17.608,22.8904,-17585.1096
2026-08-14,ORD000044,605196,buy,500,34.51,17255.0,5.1765,0.0,17.255,22.4315,-17232.5685
2026-08-14,ORD000045,688139,buy,600,29.11,17466.0,5.2398,0.0,17.466,22.7058,-17443.2942
2026-08-14,ORD000046,688333,buy,100,107.2,10720.0,5.0,0.0,10.72,15.72,-10704.28
2026-08-14,ORD000047,688382,buy,900,21.28,19152.0,5.7456,0.0,19.152,24.8976,-19127.1024
2026-08-14,ORD000048,688552,buy,700,27.9,19530.0,5.858999999999999,0.0,19.53,25.389,-19504.611
