time,order_id,symbol,side,quantity,order_type,ref_price,status,message
2026-08-15T14:01:29.323112,ORD000001,000029,sell,900,market,22.2,pending,"已提交,待撮合"
2026-08-15T14:01:29.323112,ORD000002,000035,sell,4500,market,4.71,pending,"已提交,待撮合"
2026-08-15T14:01:29.329999,ORD000003,000506,sell,1100,market,17.64,pending,"已提交,待撮合"
2026-08-15T14:01:29.329999,ORD000004,001896,sell,1600,market,13.07,pending,"已提交,待撮合"
2026-08-15T14:01:29.329999,ORD000005,002434,sell,3500,market,5.9,pending,"已提交,待撮合"
2026-08-15T14:01:29.338706,ORD000006,002891,sell,600,market,30.0,pending,"已提交,待撮合"
2026-08-15T14:01:29.340791,ORD000007,300045,sell,1600,market,13.31,pending,"已提交,待撮合"
2026-08-15T14:01:29.343365,ORD000008,300182,sell,4200,market,5.1,pending,"已提交,待撮合"
2026-08-15T14:01:29.345428,ORD000009,300322,sell,1000,market,19.05,pending,"已提交,待撮合"
2026-08-15T14:01:29.348434,ORD000010,300443,sell,900,market,20.53,pending,"已提交,待撮合"
2026-08-15T14:01:29.350907,ORD000011,300492,sell,700,market,25.24,pending,"已提交,待撮合"
2026-08-15T14:01:29.350907,ORD000012,300598,sell,600,market,28.72,pending,"已提交,待撮合"
2026-08-15T14:01:29.350907,ORD000013,301039,sell,2700,market,7.79,pending,"已提交,待撮合"
2026-08-15T14:01:29.357330,ORD000014,301155,sell,400,market,46.06,pending,"已提交,待撮合"
2026-08-15T14:01:29.358070,ORD000015,301207,sell,1100,market,18.11,pending,"已提交,待撮合"
2026-08-15T14:01:29.358070,ORD000016,600338,sell,1500,market,13.67,pending,"已提交,待撮合"
2026-08-15T14:01:29.358070,ORD000017,600597,sell,3100,market,6.67,pending,"已提交,待撮合"
2026-08-15T14:01:29.364783,ORD000018,600729,sell,1000,market,19.02,pending,"已提交,待撮合"
2026-08-15T14:01:29.364783,ORD000019,600750,sell,800,market,23.81,pending,"已提交,待撮合"
2026-08-15T14:01:29.364783,ORD000020,600776,sell,1600,market,12.95,pending,"已提交,待撮合"
2026-08-15T14:01:29.371744,ORD000021,600782,sell,7900,market,2.71,pending,"已提交,待撮合"
2026-08-15T14:01:29.371744,ORD000022,600877,sell,1600,market,12.99,pending,"已提交,待撮合"
2026-08-15T14:01:29.371744,ORD000023,601949,sell,4100,market,5.17,pending,"已提交,待撮合"
2026-08-15T14:01:29.371744,ORD000024,603355,sell,700,market,27.22,pending,"已提交,待撮合"
2026-08-15T14:01:29.378796,ORD000025,603567,sell,3200,market,6.62,pending,"已提交,待撮合"
2026-08-15T14:01:29.378796,ORD000026,605196,sell,500,market,35.07,pending,"已提交,待撮合"
2026-08-15T14:01:29.378796,ORD000027,688139,sell,600,market,28.84,pending,"已提交,待撮合"
2026-08-15T14:01:29.378796,ORD000028,688333,sell,100,market,109.73,pending,"已提交,待撮合"
2026-08-15T14:01:29.385500,ORD000029,688552,sell,700,market,27.93,pending,"已提交,待撮合"
2026-08-15T14:01:29.385500,ORD000030,000680,buy,100,market,10.21,pending,"已提交,待撮合"
2026-08-15T14:01:29.385500,ORD000031,000712,buy,100,market,9.33,pending,"已提交,待撮合"
2026-08-15T14:01:29.392505,ORD000032,000813,buy,200,market,3.51,pending,"已提交,待撮合"
2026-08-15T14:01:29.392505,ORD000033,002212,buy,100,market,6.64,pending,"已提交,待撮合"
2026-08-15T14:01:29.392505,ORD000034,002416,buy,100,market,9.85,pending,"已提交,待撮合"
2026-08-15T14:01:29.392505,ORD000035,300133,buy,100,market,7.19,pending,"已提交,待撮合"
2026-08-15T14:01:29.399380,ORD000036,300180,buy,200,market,4.32,pending,"已提交,待撮合"
2026-08-15T14:01:29.399380,ORD000037,300276,buy,100,market,6.59,pending,"已提交,待撮合"
2026-08-15T14:01:29.399380,ORD000038,300315,buy,200,market,4.19,pending,"已提交,待撮合"
2026-08-15T14:01:29.405914,ORD000039,300459,buy,200,market,3.68,pending,"已提交,待撮合"
2026-08-15T14:01:29.406512,ORD000040,600057,buy,100,market,6.15,pending,"已提交,待撮合"
2026-08-15T14:01:29.406512,ORD000041,600409,buy,100,market,6.59,pending,"已提交,待撮合"
2026-08-15T14:01:29.406512,ORD000042,600422,buy,100,market,8.82,pending,"已提交,待撮合"
2026-08-15T14:01:29.413485,ORD000043,600866,buy,200,market,4.3,pending,"已提交,待撮合"
2026-08-15T14:01:29.413485,ORD000044,601519,buy,100,market,8.07,pending,"已提交,待撮合"
2026-08-15T14:01:29.413485,ORD000045,603300,buy,200,market,4.99,pending,"已提交,待撮合"
